race,sex,fe_min,fe_max,nvss_deaths,ratio_min,ratio_max
African American,Female,84,93,34,2.4705882352941178,2.735294117647059
African American,Male,2204,2247,846,2.6052009456264775,2.6560283687943262
American Indian/AK Native,Female,10,12,7,1.4285714285714286,1.7142857142857142
American Indian/AK Native,Male,88,96,63,1.3968253968253967,1.5238095238095237
Asian/Pacific Islander,Female,4,5,4,1,1.25
Asian/Pacific Islander,Male,140,155,78,1.794871794871795,1.9871794871794872
Latinx,Female,32,37,15,2.1333333333333333,2.466666666666667
Latinx,Male,1262,1299,669,1.8863976083707026,1.9417040358744395
White,Female,225,237,89,2.5280898876404496,2.662921348314607
White,Male,3373,3403,1771,1.9045736871823828,1.9215132693393564
